codigo,grado,10-Nov,11-Dec,Dec-13,13/14,14/15,15/16,16/17,17/18,18/19,19/20,20/21,21/22
685,Igualdad y Género On-line (Vicálvaro),5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
686,Marketing (Fuenlabrada),6.976,7.427,7.44,8.061,8.272,7.54,8.161,8.74,9.21,8.9,10.198,10.8
687,Marketing (Inglés) (Vicalvaro),5.919,5,5,5,5,7.267,7.847,8.285,8.757,8.644,5,9.325
688,Marketing (Vicalvaro),7.472,7.853,7.94,8.344,8.836,8.296,8.983,9.22,9.886,9.35,10.663,11.303
689,Periodismo (Fuenlabrada),7.16,7.822,7.217,7.258,7.354,7.38,7.815,8.681,8.51,8.36,8.977,9.486
690,Periodismo (Vicalvaro),8.386,9.467,7.41,8,8.394,8.579,8.544,8.834,8.435,8.567,9.081,9.912
691,Periodismo (Fuenlabrada) (Semipresencial),7.35,6.59,6,6.188,6.156,5.76,6.407,6.44,6.995,7.167,7.972,8.359
692,Publicidad y Relaciones Públicas (Fuenlabrada),7.94,8.306,8.396,8.758,8.628,8.219,8.6,9.132,9.647,9.631,10.229,10.827
693,Publicidad y Relaciones Públicas (Vicalvaro),8,8.507,8.42,8.961,8.83,8.48,8.506,9.082,9.578,9.549,10.315,10.877
694,Publicidad y Relaciones Públicas (Fuenlabrada) (Semipresencial),7.53,6.846,6.7,6.6,6.142,6.567,6.89,7.408,7.38,7.73,8.746,9.573
695,Relaciones Laborales y Recursos Humanos (Alcorcón),5,5.91,5,5.276,5.44,5,5.575,5.781,5.571,6.77,7.54,8.268
696,Relaciones Laborales y Recursos Humanos (Vicalvaro),5,6.18,6.215,6.251,6.185,5,5.885,5.914,6.118,6.93,7.64,8.59
697,Sociología (Vicálvaro),5,5.765,5.01,5.672,NA,NA,NA,NA,NA,NA,NA,NA
698,Turismo (Fuenlabrada),5.007,6.165,6.154,6.214,6.251,5.66,6.167,6.14,5.484,6.757,7.028,7.614
699,Turismo (Inglés) (Vicalvaro),5,5,5,5,5,5.714,6.025,5,5.098,5.836,5,5
700,Turismo (Vicalvaro),6.022,6.951,7.051,7.23,7.353,5.39,6.62,6.46,6.031,6.493,7.354,7.017
701,Turismo On-line (Fuenlabrada),5,5,5,5,5,NA,NA,NA,NA,NA,NA,NA
702,Contabilidad y Finanzas (Vicalvaro),NA,6.314,7,6.99,5.83,6.128,7.027,6.584,7.08,7.46,8.243,9.132
703,Derecho-Matrise on Droit (Vicálvaro),NA,5.776,NA,5,5,5.075,5.1,5.178,5,5.188,NA,NA
704,Educación Infantil (Inglés) (Vicálvaro),NA,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA
705,Educación Primaria ( Semipresencial) (Vicalvaro),NA,6.737,6.35,6.6,5,6.62,7.36,8.08,8.14,8.068,9.335,9.724
707,Contabilidad y Finanzas (Móstoles),NA,NA,5.572,6.06,5.34,5.301,5.971,5.75,5.844,6.759,7.487,8.661
708,Criminología (Alcorcón),NA,NA,8.618,9.375,9.775,9.55,9.889,10.125,10.161,10.275,11.173,11.472
710,Administración y Dirección de Empresas - Derecho (Móstoles),6.606,7.842,5.946,6.983,6.685,5.86,6.367,5.964,6.571,6.807,8.283,10.028
711,Diseño y Gestión de Moda (Madrid),5.833,7.331,7.307,7.557,6.469,6.18,8.114,10.531,11.152,11.684,12.411,12.595
712,Administración y Dirección de Empresas - Derecho (Vicalvaro),8.072,8.768,8.645,8.875,8.582,8.821,7.535,8.603,9.118,8.984,9.587,10.454
713,"Comunicación Audiovisual - Admón. y Dirección de Empresas(Fuenlabrada)",8.095,9.381,7.321,8.744,8.865,7.458,8.168,8.898,8.743,8.698,9.673,10.117
714,Ciencia Política y Gestión Pública - Derecho (Vicalvaro),8.443,9.25,9.161,9.076,9.706,8.75,8.875,9.497,9.355,9.847,10.647,10.761
715,Derecho - Periodismo (Vicalvaro),8.692,10.726,10.474,11.346,10.949,11.421,11.594,12.33,12.265,11.557,11.943,12.854
716,Derecho - Relaciones Laborales y Recursos Humanos (Vicalvaro),7.361,8.857,8.154,9.939,7.462,9.335,8.669,9.584,9.17,9.266,10.072,10.882
717,Economía - Derecho (Fuenlabrada),7.236,9.804,10.301,9.911,10.05,9.126,10.171,11.176,10.259,9.439,11.533,12.2
718,Economía - Derecho (Vicalvaro),9.258,10.892,10.742,11.421,11.154,10.647,11.11,11.815,12.372,11.874,12.593,12.582
719,Economía - Periodismo (Vicalvaro),8.129,11.45,11.129,10.956,11.482,11.057,11.193,11.561,10.708,10.957,11.206,12.072
720,Historia (Fuenlabrada),7.72,9.249,9.908,10.092,9.446,10.293,5,5.565,7.198,5,7.158,7.41
721,Lengua y Literatura Española (Fuenlabrada),8.357,10.241,9.193,9.611,9.396,9.728,5,5.82,5,5,6.218,7.086
722,Paisajismo (Aranjuez),5.455,7.957,8.844,8.915,9.443,9.483,5,5,5,5,5,6.13
723,Ingeniería de la Energía - Ingeniería Ambiental (Móstoles),8.919,10.835,10.414,10.754,10.922,9.264,7.415,9.451,8.92,10.121,10.586,11.66
724,Ingeniería de Materiales - Ingeniería en Energía (Móstoles),7.543,8.832,9.967,9.742,8.297,8.339,8.56,8.173,7.115,7.71,8.671,10.543
725,"Ingeniería Sist. de Telecom. - Administración y Dir. de Empresas(Fuenlabrada)",7.373,9.671,7.17,9.411,9.907,9.703,9.536,9.896,8.274,9.963,10.76,11.267
726,Ingeniería del Software - Matemáticas (Móstoles),5,7.04,7.26,8.422,5,9.193,10.71,11.2,11.817,12.159,12.819,13.17
727,Ingeniería Informática - Ingeniería de Computadores (Móstoles),5,7.542,7.974,8.269,7.56,8.207,9.15,8.092,8.754,8.754,10.311,10.594
728,Ingeniería Informática - Ingeniería del Software (Móstoles),6.324,8.53,9.071,9.75,9.92,9.586,10.525,10.786,11.082,9.976,11.309,11.889
729,Ingeniería Informática - Matemáticas (Móstoles),5,9.886,10.158,7.642,10.128,10.776,12.172,12.637,12.544,12.94,13.322,13.354
730,"Ingeniería Informática - Administración y Dirección de Empresas(Móstoles)",6.972,8.831,9.322,9.767,9.344,9.542,9.869,10.303,10.647,10.722,11.586,12.15
731,Psicología (Aranjuez),7.654,9.664,9.708,9.918,9.981,9.616,8.344,8.68,8.777,9.218,10.045,10.553
732,Ingeniería Química - Ingeniería Ambiental (Móstoles),6.743,9.696,9.961,10.567,8.929,9.121,9.941,10.079,8.497,9.63,10.988,11.776
733,Ingeniería Química - Ingeniería de la Energía (Móstoles),8.64,11.789,10.8,10.702,9.256,10.943,10.529,10.784,10.588,9.771,10.196,11.025
734,Periodismo - Comunicación Audiovisual (Fuenlabrada),9.1,10.2,9.683,9.957,10.04,9.899,10.096,9.967,10.056,10.084,10.296,10.958
735,Periodismo - Comunicación Audiovisual (Vicalvaro),8.854,10.11,9.992,10.028,10.436,10.392,10.571,10.343,10.564,10.442,10.75,11.717
736,"Publicidad y Relaciones Públicas - Admón. y Dir. de Empresas(Fuenlabrada)",8.408,9.7,9.854,10.482,10.808,10.196,10.393,10.616,10.339,10.319,10.801,11.743
737,Turismo - Administración y Dirección de Empresas (Fuenlabrada),5.07,7.45,7.947,8.658,8.414,6.77,7.82,7.6,6.574,7.446,7.739,8.612
738,Turismo - Administración y Dirección de Empresas (Vicalvaro),6.206,8.462,8.171,9.232,9.157,8.852,8.257,8.583,8.246,NA,8.691,9.098
739,Ciencia Política y Gestión Pública - Economía (Vicalvaro),NA,6.274,9.233,10.378,9.286,11.074,11.52,11.382,11.197,11.444,12.093,12.348
740,Ciencia Política y Gestión Pública - Periodismo (Vicalvaro),NA,10.224,8.283,10.235,10.49,10.924,12.122,11.34,11.708,10.264,11.59,11.588
741,Contabilidad y Finanzas - Derecho (Vicalvaro),NA,6.38,8.254,8.745,7.957,7.756,7.389,9.519,6.861,7.568,9.11,10.26
742,Contabilidad y Finanzas - Relaciones Laborales y RRHH (Vicalvaro),NA,6.706,8.507,9.458,8.38,9.77,9.983,9.857,9.294,9.14,10.597,10.596
743,Criminología - Derecho (Vicalvaro),NA,11.119,11.553,12.276,12.154,12.048,12.059,12.318,12.48,12.4,12.664,13.07
744,Fundamentos de la Arquitectura (Aranjuez),NA,5,6.55,9.173,9.176,9.639,5,6.903,7.583,6.666,9.018,10.13
745,Economía Financiera y Actuarial - ADE (Vicalvaro),NA,9.822,11.121,11.571,11.614,11.86,11.782,11.686,11.28,11.234,11.469,12.215
746,Economía Financiera y Actuarial - Economía (Vicalvaro),NA,6.504,9.59,10.682,10.599,11.095,11.302,11.665,9.574,10.767,11.308,11.549
747,Ingeniería Ambiental - Ingeniería en Organización Industrial (Móstoles),NA,5.704,7.967,7.639,7.83,8.085,8.08,6.296,7.636,5,9.003,9.929
748,Ingeniería de la Energia - Ingeniería en Organización Industrial (Móstoles),NA,9.28,10.075,10.032,9.129,8.903,9.556,7.656,8.389,9.188,10.064,10.472
749,Ingeniería de Materiales - Ingeniería en Organización Industrial (Móstoles),NA,7.724,7.721,8.457,7.203,7.336,7.47,7.349,7.078,6.983,8.15,9.744
756,Ingeniería Química -  Ingeniería en Organización Industrial (Móstoles),NA,7.01,8.599,9.674,9.231,8.524,9.592,9.965,9.678,10.215,10.511,11.494
757,Sociología-ADE (Vicálvaro),NA,6.869,8.496,8.44,NA,NA,NA,NA,NA,NA,NA,NA
758,Sociología-Relaciones Laborales y RRHH (Vicálvaro),NA,6.672,7,8.694,NA,NA,NA,NA,NA,NA,NA,NA
759,Relaciones Internacionales (Inglés) (Vicalvaro),NA,NA,8.964,10.049,9,10.866,11.311,11.762,11.597,11.074,11.567,11.558
760,Relaciones Internacionales (Fuenlabrada),NA,NA,8.49,9.802,10.175,9.906,10.464,10.973,11.018,10.5,11.266,11.496
761,Contabilidad y Finanzas (Fuenlabrada),NA,NA,NA,5,5.325,5,5.586,5,5,6.31,7.31,8.54
762,Marketing (Móstoles),NA,NA,NA,7,7.88,7.165,7.793,8.315,8.66,8.782,9.804,10.453
771,Contabilidad y Finanzas - Derecho (Móstoles),NA,NA,6.544,7.169,5.61,5.635,6.082,6.593,6.353,6.47,7.782,9.633
772,Fundamentos de la Arquitectura - Diseño Int. Gest. Imagen (Fuenlabrada),NA,NA,10.208,11.11,11.926,11.881,11.217,11.508,11.808,11.415,12.062,12.778
773,Publicidad y Relaciones Públicas - Marketing (Fuenlabrada),NA,NA,11.085,12.172,12.49,12.257,12.154,12.69,12.803,11.878,13.036,13.134
774,Relaciones Internacionales - Periodismo (Fuenlabrada),NA,NA,12.043,12.894,12.94,12.924,13.088,12.923,12.886,12.964,13.091,13.154
776,Contabilidad y Finanzas - Derecho (Fuenlabrada),NA,NA,NA,5,5.797,5.58,6.067,6.288,5,6.69,7.757,9.076
778,Relaciones Internacionales - Economia (Fuenlabrada),NA,NA,NA,10.029,11.281,11.374,11.489,12.176,11.522,11.554,12.294,12.554
779,"Ingeniería en Tecnología de Telecomunicación - Ingeniería Aeroespacialen Aeronavegación (Fuenlabrada)",NA,NA,NA,10.411,10.377,11.275,11.897,11.492,11.744,11.288,11.944,12.279
801,Administración y Dirección de Empresas (Aranjuez),NA,NA,NA,NA,5,5,5.824,5,6.08,NA,NA,NA
802,Bellas Artes (Aranjuez),NA,NA,NA,NA,5,5,7.836,8.5,8.564,9.082,9.632,10.077
804,Criminología (Aranjuez),NA,NA,NA,NA,8.642,9.158,9.318,9.94,10.05,10,10.925,11.329
805,Derecho (Aranjuez),NA,NA,NA,NA,5,5,5.857,7.024,6.28,NA,NA,NA
806,Diseño Integral y Gestión de la Imagen (Aranjuez),NA,NA,NA,NA,6.776,8.5,8.76,9.201,9.55,10.161,11.126,11.459
807,Economía (Aranjuez),NA,NA,NA,NA,5,5,5.41,5,5,NA,NA,NA
808,Marketing (Aranjuez),NA,NA,NA,NA,5,6.118,6.88,5,7.941,7.77,9.03,9.562
809,Administración y Dirección de Empresas-Derecho (Aranjuez),NA,NA,NA,NA,5,5.174,5.668,5,5.495,NA,NA,NA
810,Criminología-Derecho (Aranjuez),NA,NA,NA,NA,10.783,11.028,11.514,11.792,11.991,NA,NA,NA
811,Economía-Derecho (Aranjuez),NA,NA,NA,NA,5,5.651,5.583,7.103,5,NA,NA,NA
812,Ciencia Política y Gestión Pública (Fuenlabrada),NA,NA,NA,NA,5,5,6.2,5.128,6.229,7.442,8.75,8.281
813,"Ciencia, Gestión e Ingeniería de Servicios (Madrid)",NA,NA,NA,NA,5,5,6.63,5,5.819,6.036,7.539,8.057
815,Diseño y Desarrollo de Videojuegos (Móstoles),NA,NA,NA,NA,8.23,9.982,9.694,9.918,9.926,9.58,10.361,10.596
816,Ciencia Política y Gestión Pública - Economía (Fuenlabrada),NA,NA,NA,NA,5.229,8.25,9.961,10.644,9.462,9.535,10.742,10.889
817,Ciencia Política y Gestión Pública - Periodismo (Fuenlabrada),NA,NA,NA,NA,7.861,9.911,10.941,10.617,9.612,9.56,10.279,10.98
819,Criminología - Psicología (Alcorcón),NA,NA,NA,NA,11.999,12.334,12.572,12.651,13.045,12.699,12.99,13.181
820,Ciencia Política y Gestión Pública - Derecho (Fuenlabrada),NA,NA,NA,NA,6.71,8.371,9.493,9.341,9.209,9.709,10.555,10.933
821,Derecho - Relaciones Internacionales (Fuenlabrada),NA,NA,NA,NA,12.126,12.328,12.677,13.032,13.026,13.204,13.425,13.433
823,Educación Infantil - Educación Primaria (Fuenlabrada),NA,NA,NA,NA,10.729,10.99,10.625,10.666,11.108,11.3,12.211,12.297
824,Educación Primaria - Matemáticas (Móstoles),NA,NA,NA,NA,8.42,9.753,10.908,11.196,11.416,11.752,12.728,12.499
825,Relaciones Internacionales - CC. Políticas y Gestión Pública (Fuenlabrada),NA,NA,NA,NA,11.107,11.564,12.22,12.11,12.326,12.427,12.841,12.687
826,Diseño y Desarrollo de Videojuegos - Ingeniería de Computadores (Móstoles),NA,NA,NA,NA,9.199,11.55,12.028,12.211,11.275,11.326,11.814,11.732
828,Turismo (Aranjuez),NA,NA,NA,NA,5,5,5,5,5,NA,NA,NA
829,Educación Infantil (Inglés) (Vicalvaro),NA,NA,NA,NA,NA,5.856,6.5,6.257,6.751,7.236,5,5
830,Matemáticas (Móstoles),NA,NA,NA,NA,NA,6.178,9.044,10.956,11.542,11.961,12.73,12.744
831,"Protocolo, Organización de Eventos y Com. Corporativa (Vicalvaro)",NA,NA,NA,NA,NA,7.8,8.661,9.485,9.836,9.594,10.277,10.729
832,Trabajo Social (Alcorcón),NA,NA,NA,NA,NA,5.686,7.17,8.249,7.71,8.7,9.025,9.666
833,Traducción e Interpretación (Aranjuez),NA,NA,NA,NA,NA,5,7.297,8.578,5.997,7.41,8.135,5
834,Ingeniería Biomédica (Fuenlabrada),NA,NA,NA,NA,NA,7.328,11.522,11.992,12.008,11.975,12.629,12.745
835,Educación Primaria - Lengua y Literatura Española (Fuenlabrada),NA,NA,NA,NA,NA,7.968,9.799,10.983,7.87,8.182,10.446,11.854
836,"Relaciones Internacionales (inglés) - Protocolo, Org. de eventos y Comun.corp. (Vicalvaro)",NA,NA,NA,NA,NA,11.964,12.414,12.858,12.739,12.586,12.72,13.087
837,Terapia Ocupacional - Trabajo Social (Alcorcón),NA,NA,NA,NA,NA,9.24,9.828,10.957,11.112,11.386,11.511,10.946
838,Turismo-Administración y Dirección de Empresas (Aranjuez),NA,NA,NA,NA,NA,5.092,7.23,6.5,6.482,NA,NA,NA
845,"Ciencia, Gestión e Ingeniería de Servicios (Semipresencial) (Vicalvaro)",NA,NA,NA,NA,NA,NA,5.028,6.254,6.23,5,6.54,7.227
849,Economía (Inglés) (Madrid),NA,NA,NA,NA,NA,NA,5,5,5,5.922,5,6.079
851,Lengua de Signos Española y Comunidad Sorda (Alcorcón),NA,NA,NA,NA,NA,NA,5,5,5.5,5,6.7,7.039
852,Lengua de Signos Española y Comunidad Sorda (Madrid),NA,NA,NA,NA,NA,NA,5,5,5.31,5,6.64,7.089
853,"Protocolo, Organización de Eventos y Com. Corporativa (Inglés) (Madrid)",NA,NA,NA,NA,NA,NA,6.808,8.861,8.939,8.935,5,8.368
854,Turismo (Vicalvaro) (Semipresencial),NA,NA,NA,NA,NA,NA,5,5,5,5,5.956,5.2
855,Bellas Artes (Presencial) (Fuenlabrada) - Turismo (Semipresencial) (Vicalvaro),NA,NA,NA,NA,NA,NA,5.256,8.657,8.292,9.9,10.322,10.282
856,Bellas Artes - Diseño Integral y Gestión de la Imagen (Aranjuez),NA,NA,NA,NA,NA,NA,9.3,10.684,11.374,10.814,11.761,12.518
857,Diseño y Gestión de Moda - Bellas Artes (Aranjuez),NA,NA,NA,NA,NA,NA,8.004,10.911,10.767,11.366,12.141,12.18
858,Diseño y Gestión de Moda - Diseño Integral y Gestión de la Imagen (Aranjuez),NA,NA,NA,NA,NA,NA,8.803,10.85,11.252,11.865,12.1,12.344
859,Economía - Historia (Fuenlabrada),NA,NA,NA,NA,NA,NA,9.975,10.204,11.731,5,9.954,10.579
860,Fundamentos de la Arquitectura - Diseño Int. Gest. Imagen (Aranjuez),NA,NA,NA,NA,NA,NA,8.607,10.234,10.317,10.718,11.63,12.186
861,Fundamentos de la Arquitectura - Paisajismo (Aranjuez),NA,NA,NA,NA,NA,NA,5,7.08,7.518,7.512,9.285,10.074
862,Historia (Presencial) (Fuenlabrada) - Educación Primaria (Semipresencial) (Vicálvaro),NA,NA,NA,NA,NA,NA,5,6.503,6.27,5,9.55,10.161
863,Historia - Ciencia Política y Gestión Pública (Fuenlabrada),NA,NA,NA,NA,NA,NA,10.892,9.684,10.004,10.766,10.759,11.305
864,Historia - Periodismo (Fuenlabrada),NA,NA,NA,NA,NA,NA,9.892,9.948,10.099,5,9.296,10.054
865,Historia - Turismo (Fuenlabrada),NA,NA,NA,NA,NA,NA,8.993,9.924,9.565,8.972,10.258,10.204
866,Lengua y Literatura Española - Periodismo (Fuenlabrada),NA,NA,NA,NA,NA,NA,6.235,8.26,5.831,7.81,8.557,9.675
867,Criminología - Psicología (Aranjuez),NA,NA,NA,NA,NA,NA,12.178,12.366,12.685,12.5,12.839,12.963
868,"Ciencia, Gestión e Ingeniería de Servicios (Semipresencial) - Ingeniería en Organización Industrial (Presencial)  (Vicalvaro)",NA,NA,NA,NA,NA,NA,5,7.651,7.752,5,7.482,9.732
869,Criminología - Ingeniería Informática (Vicalvaro),NA,NA,NA,NA,NA,NA,9.202,10.749,10.316,10.883,11.585,12.056
870,Ingeniería Informática (Presencial) - ADE (a Distancia) (Vicalvaro),NA,NA,NA,NA,NA,NA,9.308,9.194,9.822,8.989,10.55,11.403
871,"ADE (Presencial) - Ciencia, Gestión e Ingeniería de Servicios (Semipresencial) (Vicalvaro)",NA,NA,NA,NA,NA,NA,7.628,8.67,9.553,5,9.733,10.172
872,"ADE (A Distancia) (Vicálvaro) - Ciencia, Gestión e Ingeniería de Servicios (Presencial) (Madrid)",NA,NA,NA,NA,NA,NA,8.303,7.715,8.526,5,8.108,9.422
873,Administración y Dirección de Empresas - Derecho (Madrid),NA,NA,NA,NA,NA,NA,5,6.961,7.234,7.823,8.528,10.285
874,"Ciencia, Gestión e Ingeniería de Servicios (Semipresencial) - Marketing (Presencial) (Vicalvaro)",NA,NA,NA,NA,NA,NA,8.493,10.174,9.22,9.565,10.551,10.776
875,"Ciencia, Gestión e Ingeniería de Servicios (Semipresencial) - Turismo (Presencial) (Vicalvaro)",NA,NA,NA,NA,NA,NA,5,5.436,5.353,5,6.65,7.247
876,Criminología - Trabajo Social (Alcorcón),NA,NA,NA,NA,NA,NA,9.767,10.997,11.458,11.692,12.068,12.511
877,Derecho (Semipresencial) - Relac. Internac. (Inglés) (Presencial) (Vicalvaro),NA,NA,NA,NA,NA,NA,11.694,12.686,12.829,12.271,13.108,12.907
879,Lengua de Signos Española y Comunidad Sorda (Presencial) (Alcorcón) - E. Primaria (Semipresencial) (Vicálvaro),NA,NA,NA,NA,NA,NA,7.29,8.229,9.564,8.251,9.3,10.559
